HorsePower	Torque	Seats
227.0	352.0	7.0
450.0	678.0	5.0
98.0	127.0	5.0
130.0	300.0	2.0
420.0	624.0	7.0
180.0	250.0	7.0
255.0	500.0	5.0
134.0	300.0	5.0
1600.0	1600.0	2.0
136.0	250.0	5.0
138.0	200.0	5.0
540.0	630.0	4.0
250.0	353.0	5.0
247.0	400.0	5.0
191.0	246.0	7.0
188.0	199.0	5.0
78.0	100.0	5.0
400.0	563.0	7.0
164.0	215.0	4.0
400.0	696.0	5.0
493.0	600.0	4.0
98.0	127.0	5.0
136.0	280.0	7.0
340.0	450.0	5.0
355.0	519.0	8.0
227.0	352.0	7.0
70.0	140.0	5.0
310.0	360.0	7.0
189.0	441.0	7.0
240.0	350.0	7.0
414.0	420.0	2.0
180.0	250.0	5.0
414.0	420.0	2.0
290.0	362.0	5.0
200.0	250.0	5.0
87.0	120.0	5.0
602.0	560.0	2.0
290.0	362.0	7.0
201.0	264.0	5.0
240.0	686.0	2.0
310.0	366.0	7.0
340.0	480.0	5.0
181.0	500.0	5.0
300.0	400.0	5.0
175.0	264.0	5.0
523.0	750.0	5.0
130.0	350.0	3.0
200.0	430.0	5.0
355.0	519.0	8.0
570.0	800.0	4.0
240.0	270.0	5.0
640.0	600.0	2.0
542.0	700.0	5.0
115.0	150.0	5.0
462.5	1125.0	5.0
159.0	400.0	5.0
402.0	664.0	5.0
1160.0	900.0	2.0
78.0	100.0	5.0
169.0	250.0	5.0
285.0	353.0	4.0
537.0	666.0	2.0
572.0	750.0	4.0
204.0	320.0	5.0
670.0	900.0	4.0
147.0	179.0	5.0
350.0	420.0	2.0
310.0	366.0	6.0
471.0	617.0	8.0
255.0	400.0	5.0
624.0	870.0	4.0
168.0	350.0	7.0
291.0	355.0	7.0
248.0	500.0	5.0
135.0	170.0	5.0
340.0	440.0	5.0
430.0	875.0	5.0
115.0	160.0	7.0
563.0	900.0	5.0
130.0	240.0	5.0
228.0	250.0	4.0
136.0	250.0	5.0
640.0	600.0	2.0
293.0	352.0	7.0
640.0	800.0	4.0
187.0	400.0	5.0
201.0	180.0	5.0
158.0	400.0	5.0
360.0	520.0	5.0
671.0	850.0	5.0
291.0	407.0	5.0
85.0	210.0	5.0
398.0	640.0	5.0
340.0	450.0	5.0
340.0	480.0	5.0
85.0	250.0	5.0
1600.0	1600.0	2.0
187.0	400.0	5.0
550.0	680.0	2.0
65.0	100.0	5.0
86.0	113.0	5.0
135.0	180.0	4.0
130.0	240.0	7.0
457.0	825.0	7.0
140.0	175.0	5.0
381.0	650.0	5.0
109.0	200.0	5.0
160.0	250.0	5.0
550.0	680.0	2.0
690.0	870.0	4.0
540.0	2600.0	2.0
118.0	250.0	7.0
180.0	300.0	5.0
290.0	362.0	5.0
563.0	900.0	5.0
193.0	255.0	5.0
509.0	650.0	5.0
563.0	900.0	5.0
100.0	135.0	5.0
200.0	260.0	5.0
420.0	624.0	8.0
250.0	420.0	5.0
362.0	500.0	5.0
219.0	400.0	5.0
580.0	630.0	2.0
355.0	480.0	5.0
470.0	637.0	4.0
360.0	550.0	5.0
74.0	114.0	5.0
207.0	320.0	5.0
255.0	500.0	5.0
272.0	400.0	5.0
145.0	360.0	7.0
310.0	360.0	7.0
195.0	280.0	5.0
321.0	335.0	7.0
406.0	500.0	5.0
382.0	500.0	2.0
125.0	220.0	5.0
310.0	366.0	7.0
590.0	850.0	4.0
365.5	600.0	5.0
178.0	300.0	5.0
220.5	315.0	5.0
143.0	160.0	2.0
290.0	355.0	8.0
130.0	230.0	5.0
1020.0	1400.0	6.0
160.0	220.0	4.0
600.0	850.0	5.0
190.5	215.0	5.0
241.0	340.0	5.0
250.0	353.0	5.0
189.0	441.0	7.0
285.0	413.0	6.0
120.0	200.0	5.0
300.0	422.0	5.0
140.0	180.0	5.0
240.0	400.0	5.0
165.0	400.0	7.0
1500.0	1600.0	2.0
85.0	250.0	7.0
201.0	264.0	5.0
310.0	366.0	5.0
640.0	565.0	2.0
138.0	320.0	7.0
310.0	583.0	5.0
526.0	582.0	2.0
450.0	600.0	2.0
291.0	355.0	7.0
300.0	354.0	5.0
107.5	153.0	5.0
37.0	51.0	4.0
178.0	300.0	5.0
210.5	550.0	5.0
192.0	252.0	5.0
190.0	400.0	5.0
670.0	850.0	4.0
136.0	260.0	5.0
335.0	450.0	5.0
293.0	352.0	5.0
68.0	140.0	2.0
537.0	666.0	2.0
157.5	200.0	4.0
139.0	265.0	5.0
335.0	600.0	5.0
227.0	352.0	7.0
181.0	245.0	7.0
503.0	650.0	5.0
190.0	400.0	5.0
402.0	520.0	5.0
86.0	113.0	5.0
98.0	170.0	5.0
140.0	250.0	5.0
70.0	140.0	5.0
563.0	650.0	5.0
420.0	624.0	8.0
188.0	380.0	5.0
1850.0	1600.0	2.0
624.0	870.0	4.0
623.0	800.0	4.0
215.0	350.0	5.0
350.0	569.0	2.0
379.0	450.0	4.0
563.0	840.0	4.0
